Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
12.50,False,False,True,10171,774,The American Wing,1912,Sculpture,Diana,American,,,,,16285,Artist, ,Karl Theodore Bitter,"American (born Austria), Vienna 1867–1915 New York", ,"Bitter, Karl Theodore","American, born Austria",1867      ,1915      ,male,http://vocab.getty.edu/page/ulan/500012278,https://www.wikidata.org/wiki/Q114552,1910,1910,1910,Bronze,19 3/4 x 5 3/4 x 9 in. (50.2 x 14.6 x 22.9 cm),"Rogers Fund, 1912",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10171,https://www.wikidata.org/wiki/Q116378159,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Diana, |http://vocab.getty.edu/page/ia/901000118,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q132543,https://images.metmuseum.org/CRDImages/ad/original/270687.jpg|https://images.metmuseum.org/CRDImages/ad/original/12382.jpg,True,,Female
1984.452.1,False,False,True,10187,,The American Wing,1984,Drawing,The Toilet,American,,,,,16317,Artist, ,Robert Frederick Blum,"American, Cincinnati, Ohio 1857–1903 New York", ,"Blum, Robert Frederick",American,1857      ,1903      ,male,http://vocab.getty.edu/page/ulan/500003750,https://www.wikidata.org/wiki/Q3592147,ca. 1893,1890,1893,Pastel on brown wove paper,11 1/2 x 11 in. (29.2 x 27.9 cm),"Gift of Margaret and Raymond J. Horowitz, 1984",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10187,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/ad/original/ap1984.452.1.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS1667.jpg|https://images.metmuseum.org/CRDImages/ad/original/235594.jpg,True,,Female
11.103.1,False,False,False,10233,774,The American Wing,1911,Sculpture,The Bather,American,,,,,16317,Artist, ,Richard Edwin Brooks,"American, Braintree, Massachusetts 1865–1919 Washington, D.C.", ,"Brooks, Richard Edwin",American,1865      ,1919      ,male,http://vocab.getty.edu/page/ulan/500524268,https://www.wikidata.org/wiki/Q7325353,"1896, cast 1904",1896,1904,Bronze,23 x 11 3/8 x 10 1/2 in. (58.4 x 28.9 x 26.7 cm),"Rogers Fund, 1911",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10233,https://www.wikidata.org/wiki/Q116378148,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270716.jpg|https://images.metmuseum.org/CRDImages/ad/original/10986.jpg,,True,Male
11.103.2,False,False,False,10234,774,The American Wing,1911,Sculpture,Song of the Wave,American,,,,,16317,Artist, ,Richard Edwin Brooks,"American, Braintree, Massachusetts 1865–1919 Washington, D.C.", ,"Brooks, Richard Edwin",American,1865      ,1919      ,male,http://vocab.getty.edu/page/ulan/500524268,https://www.wikidata.org/wiki/Q7325353,"1895, cast 1904",1895,1904,Bronze,12 1/2 x 14 3/8 x 10 3/8 in. (31.8 x 36.5 x 26.4 cm),"Rogers Fund, 1911",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10234,https://www.wikidata.org/wiki/Q116378147,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270715.jpg,True,,Female
20.76,False,False,True,10344,774,The American Wing,1920,Sculpture,At the Threshold,American,,,,,16335,Artist, ,Edith Woodman Burroughs,"American, Riverdale, New York 1871–1916 Flushing, New York", ,"Burroughs, Edith Woodman",American,1871      ,1916      ,female,http://vocab.getty.edu/page/ulan/500524280,https://www.wikidata.org/wiki/Q5338696,1912; carved 1919–20,1912,1920,"Limestone, tinted",62 1/2 x 14 1/2 x 16 in. (158.8 x 36.8 x 40.6 cm),"Amelia B. Lazarus Fund, 1920",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10344,https://www.wikidata.org/wiki/Q29961013,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/270708.jpg,True,,Female
12.16,False,False,True,10558,,The American Wing,1912,Drawing,Study for Ceiling Decoration,American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,ca. 1894,1891,1894,Graphite on off-white laid paper for transfer,14 5/8 x 20 in. (37.1 x 50.8 cm),"Gift of William Rothenstein, 1912",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10558,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/ap12.16.jpg|https://images.metmuseum.org/CRDImages/ad/original/12112.jpg,True,,Female
50.101.1,False,False,True,10561,,The American Wing,1950,Drawing,"Study for ""Science Instructing Industry""",American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,1898,1898,1898,Graphite on off-white laid paper; mounted on Egyptian linen,14 11/16 x 20 1/4 in. (37.3 x 51.4 cm),"Francis Lathrop Fund, 1950",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10561,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/ap50.101.1.jpg|https://images.metmuseum.org/CRDImages/ad/original/147788.jpg,True,,Female
50.101.2,False,False,True,10562,,The American Wing,1950,Drawing,Science Instructing Industry: Nude Study,American,,,,,16179,Artist, ,Kenyon Cox,"American, Warren, Ohio 1856–1919 New York", ,"Cox, Kenyon",American,1856      ,1919      ,male,http://vocab.getty.edu/page/ulan/500015454,https://www.wikidata.org/wiki/Q933739,1898,1898,1898,Graphite on off-white laid paper mounted on secondary support of Egyptian linen,14 7/8 x 19 7/16 in. (37.8 x 49.4 cm),"Francis Lathrop Fund, 1950",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/10562,,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ad/original/DP-32706-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/ap50.101.2.jpg|https://images.metmuseum.org/CRDImages/ad/original/147789.jpg,,True,Male
10.228.8,True,False,True,11109,,The American Wing,1910,Watercolor,The Bather,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,male,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899,1899,1899,Watercolor and graphite on off-white wove paper,"14 7/16 x 21 1/16 in. (36.7 x 53.5 cm)
Framed: 24 1/2 x 30 1/2 in. (62.2 x 77.5 cm)","Amelia B. Lazarus Fund, 1910",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11109,https://www.wikidata.org/wiki/Q104412988,,"Metropolitan Museum of Art, New York, NY",Men|Bathing,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/ad/original/DP-21449-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DT377.jpg|https://images.metmuseum.org/CRDImages/ad/original/APS0942.jpg|https://images.metmuseum.org/CRDImages/ad/original/9645.jpg,,True,Male
06.1234,True,True,True,11122,767,The American Wing,1906,Painting,The Gulf Stream,American,,,,,16199,Artist, ,Winslow Homer,"American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine", ,"Homer, Winslow",American,1836      ,1910      ,male,http://vocab.getty.edu/page/ulan/500019202,https://www.wikidata.org/wiki/Q344838,1899; reworked by 1906,1899,1906,Oil on canvas,"28 1/8 x 49 1/8 in. (71.4 x 124.8 cm)
Framed: 42 5/16 x 62 11/16 x 5 7/8 in. (107.5 x 159.3 x 15 cm)","Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/11122,https://www.wikidata.org/wiki/Q7738501,,"Metropolitan Museum of Art, New York, NY",Men|Fish|Seas|Waves|Boats,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300266085|http://vocab.getty.edu/page/aat/300008694|http://vocab.getty.edu/page/aat/300343616|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q152|https://www.wikidata.org/wiki/Q165|https://www.wikidata.org/wiki/Q165848|https://www.wikidata.org/wiki/Q35872,https://images.metmuseum.org/CRDImages/ad/original/DP-20821-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-20821-002.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-004.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-001.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-002.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP-23169-003.jpg|https://images.metmuseum.org/CRDImages/ad/original/DP140858.jpg,,True,Male
